Facility Name,Facility Address,Nitrogen Oxides,PM10,PM2.5,Volatile Organic Compounds
Centennial,Unknown,13.24299957,21.42298552,17.03022959,25.24781781
CENTENNIAL HEALTHCARE PLAZA,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CENTENNIAL STATE PAVING; INC.-HMA PLANT,1035 E NORTHERN AVE,2.07116,1.988502,0.466055,1.90547
CENTENNIAL WATER & SANITATION- S PLATTE,4955 W HIGHWAY 470,0.041558,0.002912,0.002912,0.002199
CENTENNIAL WATER & SANITATION- ZONE 4-B,1300 WILDCAT RESERVE PKWY,0.1,0.1,0.1,0.01
CENTENNIAL WATER & SANITATION- ZONE 5,3897 ALDENBRIDGE CIR,1.9,0.1,0.1,0.2
CENTENNIAL WATER & SANITATION- ZONE 6,11303 DANIELS PARK RD,1.9,0.03,0.03,0.1
Central Colorado Region,Unknown,0.1444315,0.25385148,0.19723853,0.332283
CENTURA HEALTH ST ANTHONY HOSPITAL,11600 W 2ND PL,16.58805,1.518313,1.273753,22.311965
CENTURY HELICOPTERS,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CERRO SUMMIT,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CF & I STEEL L P,2100 S. FREEWAY,523.38201,170.431312,118.277914,175.5751
CHAMPION BOXED BEEF CO,5900 YORK ST,0.07,0.0015,0.0015,0.0014
CHANEY-REAGER FUNERAL HOME; INC.,443 S 2ND ST,0.08478,0.01746,0.014865,1.53
CHAPARRAL,Unknown,0.00366372,0.0133416,0.0092057,0.00848147
CHAPMAN FIELD,Unknown,0.00278395,0.0101379,0.00699512,0.0064448
CHARLES ANTHONY FUNERAL HOME ROYAL GORGE,225 E MAIN ST,0.00712,0.00608,0.005176,0.00598
CHEROKEE TRAIL RANCH,Unknown,0.00479505,0.0174614,0.0120483,0.0111005
CHERRY CREEK CORPORATE CENTER,4500 CHERRY CREEK SOUTH DR,0.2,0.24,0.24,0.2385
CHERRY CREEK TOWNHOUSE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CHEVRON USA - WILSON CREEK GAS PLT,SE SE SEC 27 T3N R94W,4.94,0.0075,0.007031,90.1017
CHEVRON USA INC - PICEANCE BASIN CENTRAL,SW NW S36 T5S R98W,91.800512,1.938,1.938,58.22
CHEVRON USA-PICEANCE BASIN 25-4 WELL PAD,NE NW SEC 25 T5S R98W,35.32,0.84,0.84,6.82
CHEVRON USA; INC. - VAN SCHAICK C-1,NWNE SEC 28 T12N R100W,2.9,0.02,0.02,0.04
CHEVRON USA; INC. - VAN SCHAICK C-10,SW NW SEC 29 T12N R100W,3.886305,0.063215,0.063215,19.26996
CHEYENNE MOUNTAIN AIR FORCE STATION,1 NORAD RD,8.3949,0.263036,0.263036,0.205139
CHEYENNE MTN ZOO,4250 CHEYENNE MOUNTAIN ZOO RD,0.990007,1.58,1.34514,0.990007
CHEYENNE PLAINS GAS- KIRK COMP STAT,NE NE S30 T5S R46W,20.04,2.2,2.2,11.64
CHEYENNE WELLS MUNI,Unknown,0.0370339,0.0559109,0.0442508,0.0807074
CHILDREN'S HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CHOLLA,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
CHRISTMAN FIELD,Unknown,0.0031187,0.0113569,0.00783624,0.00721974
CIG (NIOBRARA)/HIGH PLAINS (AKRON) C.S.,E SE SEC 8 T2S R50W,33.8,2.1,0.945,21.034
CIRCLE 8 RANCH,Unknown,0.00301372,0.0109746,0.00757247,0.00697673
CIRCLE GRAPHICS- CIRCLE VISUAL,120 9TH AVE UNIT B,1.84,6.21,4.31,31.64
CIRINO,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
CITATION O & G - ARAPAHOE UNIT 136,NE SW SEC 26 T14S R42W,8.5,0.05,0.05,0.33
CITATION O & G - ARAPAHOE UNIT 139,NE SE SEC 27 T14S R42W,3.86,0.03,0.03,0.05
CITATION O & G - ARAPAHOE UNIT 180,NW NE SEC 27 T14S R42W,1.51,0.08,0.08,0.21
CITATION O & G - BERGE 5 33-1,NW SE SEC 1 T13S R51W,8.5,0.05,0.05,0.33
CITATION O & G - BERGE 8 24H-1,SE SW SEC 1 T13S R51W,13.6,0.08,0.08,0.25
CITATION O & G - BERGE 9 13-1,NW SW SEC 1 T13S R51W,8.5,0.05,0.05,0.33
CITATION O & G - BILL 1 12E-26,SEC 26 T13S R42W,8.5,0.05,0.05,0.33
CITATION O & G - CHRISTOPHER 2 34-1,SW SE SEC 1 T12S R51W,8.5,0.05,0.05,0.33
CITATION O & G - CHRISTOPHER 4 43-1,SEC 1 T12S R51W,3.86,0.03,0.03,0.05
CITATION O & G - CHRISTOPHER 5 41-1,NE NE SEC 1 T12S R51W,3.86,0.03,0.03,0.05
CITATION O & G - CHRISTOPHER 6 32-1,SW NE SEC 1 T12S R51W,8.5,0.05,0.05,0.33
CITATION O & G - FALLOW 1 32-18,SE NE SEC 18 T10S R54W,3.78,0.03,0.03,0.05
CITATION O & G - FRONTERA GAS PLANT,NE SEC 24 T15S R42W,24.1,0.41,0.41,20.2051
CITATION O & G - MPU 31-29,NW NE SEC 29 T13S R47W,8.5,0.05,0.05,0.33
CITATION O & G - MPU 33-30,NW SE 30 13S 47W,6.9,0.06,0.06,0.9
CITATION O & G - PETER 2 42-29,SE NE SEC 29 T14S R43W,7.95,0.07,0.07,0.1
CITATION O & G - PIERSON 2 13-1,NW SW SEC 1 T18S R42W,6.9,0.06,0.06,0.09
CITATION O & G - PIERSON 1-1,NE SW SEC 1 T18S R42W,3.86,0.03,0.03,0.05
CITATION O & G - RHOADES 1 13-35,NW SW SEC 35 T13S R49W,8.5,0.05,0.05,0.33
CITATION O & G - ROTH 6 42-27,SE NE SEC 27 T13S R42W,6.9,0.06,0.06,0.09
CITATION O & G - SCHNEIDER 2 44-1,NE NE SEC 1 T18S R42W,3.86,0.03,0.03,0.05
CITATION O & G - SCHNEIDER 3 34-1,SW SE SEC 1 T18S R42W,3.86,0.03,0.03,0.05
CITATION O & G - UNIT 173 23-9,NE SW SEC 9 T14S R42W,1.08,0.06,0.06,0.16
CITATION O & G TUTTLE 1 33-35,NW SE SEC 35 T17S R42W,0.48,0.00965,0.00965,0.08
CITATION O&G CORP - N ARAPAHOE SEC REC,SW SEC 9 T14S R42W,42.82,0.88,0.88,3.14
CITATION OIL - ARAPAHOE GAS PLANT,SE SW SEC 22 T14S R42W,29,0.435,0.435,2.799999
CITATION OIL - ARAPAHOE UNIT 134,NE SE SEC 26 T14S R42W,8.5,0.05,0.05,0.33
CITATION OIL - ARAPAHOE UNIT 137,SW SW SEC 26 T14S R42W,1.51,0.08,0.08,0.21
CITATION OIL - ARAPAHOE UNIT 140,SW SE SEC 27 T14S R42W,1.51,0.08,0.08,0.21
CITATION OIL - ARAPAHOE UNIT 141,NE SW SEC 27 T14S R42W,1.51,0.08,0.08,0.21
CITATION OIL - ARAPAHOE UNIT 142,SW NE SEC 27 T14S R42W,8.5,0.05,0.05,0.33
CITATION OIL - ARAPAHOE UNIT 144,SW NW SEC 27 T14S R42W,1.51,0.08,0.08,0.21
CITATION OIL - ARAPAHOE UNIT 172,SW SE SEC 9 T14S R42W,6.9,0.06,0.06,0.9
CITATION OIL - ARAPAHOE UNIT 178,SE SE SEC 21 T14S R42W,1.08,0.06,0.06,0.16
CITATION OIL - BERGE 1 31-1,NW NE SEC 1 T13S R51W,13.6,0.08,0.08,0.25
CITATION OIL - BERGE 3 22-1,SE NW SEC 1 T13S R51W,6.41,0.05,0.05,0.08
CITATION OIL - BERGE 4 42H-1,SE NE SEC 1 T13S R51W,13.6,0.035,0.035,0.25
CITATION OIL - BILL 3 21-26,NE NW SEC 26 T13S R42W,6.9,0.06,0.06,0.09
CITATION OIL - BLEDSOE 1 14-30,SW SW SEC 30 T12S R50W,13.6,0.08,0.08,0.25
CITATION OIL - BLEDSOE 5 11-31,NW NW SEC 31 T12S R50W,4.43,0.04,0.04,0.06
CITATION OIL - BLEDSOE 6 22-31,SE SE NW SEC 31 T12S R50W,7.95,0.035,0.035,0.1
CITATION OIL - BLEDSOE 11-12,NE SW SEC 12 T12S R51W,2.16,0.11,0.11,0.26
CITATION OIL - BLEDSOE 13-12,SW SW SEC 12 T12S R51W,17,0.02395,0.02395,0.66
CITATION OIL - BLEDSOE 3-12,NENW SEC 12 T12S R51W,5.8065,0.11,0.11,0.30884
CITATION OIL - BLEDSOE 5-12,SW NW SEC 12 T12S R51W,5.9055,0.14,0.14,0.30884
CITATION OIL - EAST SORRENTO C.S.,NW NW SEC 11 T14S R49W,13.5,0.3,0.3,1
CITATION OIL - FRONTERA UNIT 29 33-19,NE SW SEC 19 T15S R41W,7.96,0.07,0.07,0.01
CITATION OIL - GRAYS STATE 1 33-36,NW SE SEC 36 T12S R51W,13.6,0.08,0.08,0.25
CITATION OIL - KREGEL 3-12,NW NW SEC 12 T13S R51W,3.86,0.03,0.03,0.05
CITATION OIL - MCCORMICK 8 44-3,SE SE SEC 3 T14S R49W,8.5,0.05,0.05,0.33
CITATION OIL - MOUNT PEARL GAS PLANT,NE SEC 35 T13S R48W,87.2,4.00598,4.00598,27.6
CITATION OIL - MPU 44-30,SE SE SEC 30 T13S R47W,6.9,0.06,0.06,0.09
CITATION OIL - RHOADES 2 22-35,SENW SEC 35 T13S R49W,10.0565,0.005,0.005,0.12884
CITATION OIL - SPEAKER 3-13,NENW SEC 13 T12S R51W,13.6,0.08,0.08,0.25
CITATION OIL - SPEAKER 5-13,SW NW SEC 13 T12S R51W,2.16,0.11,0.11,5.2295
CITATION OIL - SPEAKER STATION,SW SW SEC 1 T12S R51W,2.16,0.11,0.11,0.26
CITATION OIL & GAS- BLEDSOE RANCH GAS PL,SW SE SEC 1 T13S R51W,33.00001,0.28915,0.28915,45.7001
CITY & COUNTY OF DENVER - COURTHOUSE,520 W COLFAX AVE,4.83336,0.33976,0.33976,0.359048
CITY & COUNTY OF DENVER - DIA,8500 PENA BLVD,22.01212,7.693049,6.687828,2.880129
CITY & COUNTY OF DENVER - JAIL FACILITY,10500 SMITH RD,1.49,0.11324,0.092499,0.08195
CITY & COUNTY OF DENVER - ROSLYN,5440 ROSLYN ST,1.95,4.7125,1.104492,7.150162
CITY & COUNTY OF DENVER - VAN CISE,490 W COLFAX AVE,5.4058,0.380375,0.380375,0.401685
CITY & COUNTY OF DENVER; WASTE MANAGEMEN,SEC 6 T5S R65W,1.08,0.157,0.157,0.093
City And County,Unknown,0.102633,0.177028,0.1362825,0.2250723
CITY AND COUNTY OF DENVER - COLISEUM,4600 HUMBOLDT ST,0.15335,0.011655,0.011655,0.008434
CITY OF AURORA ANIMAL CARE DIVISION,15750 E 32ND AVE,0.267,0.3315,0.14325,0.0225
CITY OF BOULDER 75TH ST WASTEWATER PLANT,4049 75TH ST,74.6865,0.46565,0.436547,11.051303
CITY OF BRUSH- BRUSH BOOSTER PUMP STATIO,600 S CLAYTON ST,2.3,0.166175,0.166175,0.125511
City Of Colorado Spring,Unknown,108.7798032,12.84776679,11.74497558,37.39666366
CITY OF DELTA POLICE DEPT,640 W 4TH ST,0.04875,0.0962,0.0819,0.04875
CITY OF FORT COLLINS - CITY HALL,300 LAPORTE AVE,2.19,0.07,0.07,0.05
CITY OF FORT COLLINS DRAKE WATER RECLAMA,3036 ENVIRONMENTAL DR,4.38,0.312,0.27345,15.0632
CITY OF FORT COLLINS STREETS DEPT,1300 HOFFMAN MILL RD,2.3,0.438221,0.281431,0.25
CITY OF GREELEY-WATER POLLUTION CTRL FAC,300 E 8TH ST,3.66763,0.167574,0.160521,5.402232
CITY OF LONGMONT WWTP - 1ST AVE PLANT,501 1ST AVE,1.072,0.129,0.129,5.4727
CITY OF LOVELAND - WASTEWATER TREATMENT,920 S BOISE AVE,18.141352,0.14731,0.14731,5.701407
CITY OF MONTROSE,441 MAPLE RD,0.15582,0.137132,0.0484,0.264894
CITY OF PUEBLO WASTEWATER TREATMENT PLAN,1300 S QUEENS AVE,1.375,0.08,0.08,2.64
CITY OF THORNTON - RECREATION CENTER,11151 COLORADO BLVD,6.81,0.198625,0.189862,0.182168
CITY OF TRINIDAD,US HWY I25 GODDARD EXIT,0.342,2.13528,0.35556,0.1642
CLEAR CHANNEL COMMUNICATIONS,4695 S MONACO ST,2.9,0.08,0.08,0.03
CLIFFORD FIELD,Unknown,0.00455195,0.0165761,0.0114375,0.0105377
CLIMAX MOLYBDENUM - CLIMAX MINE / MILL,HWY 91 AT FREMONT PASS,6.94,0.105254,0.105243,0.18
CLIMAX MOLYBDENUM - HENDERSON MILL,19302 COUNTY ROAD 3,41.13211,29.456464,19.426241,13.733863
CLIMAX MOLYBDENUM COMPANY HENDERSON MINE,S/2 SEC 24 T3S R76W,15.94,11.48788,4.040432,2.35394
CO DEPT OF CORRECTIONS - FORT LYON CORRE,BLDG 45,99.14,13.85,12.15769,3.52
COAL BANK PASS,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
COLLBRAN VALLEY GAS - ANDERSON GULCH,S SW SEC 31 T9S R95W,127.63,4.3686,4.365578,68.1103
COLO DEPT OF CORRECTIONS - BVCC/MC & CCA,15125 U.S. HWYS 24 & 285,7.721147,0.19122,0.19122,4.317831
COLO DEPT OF CORRECTIONS - CTCF;CTA,275 W US HIGHWAY 50,17.79986,1.41786,1.242229,0.39456
COLO DEPT OF CORRECTIONS - DRDC & DWCF,10900 SMITH RD,40.5484,2.29795,2.29628761,1.7274
COLO DEPT OF CORRECTIONS - ECCPC,57500 E US HIGHWAY 50,19.00794,1.145851,1.137027,0.844449
COLO DEPT OF CORRECTIONS - LCF,49030 STATE HWY 71,8.06,1.22,1.216912,0.85
COLO DEPT OF CORRECTIONS - SCF,12101 HWY 61,40.78418,3.275908,3.27547112,2.725823
COLO MENTAL HEALTH INSTITUTE AT PUEBLO,1600 W 24TH ST,55.173,1.0462,0.66544,0.612
COLO POWER/BRUSH COGEN/COLO ENERGY MGT,1500 S CLAYTON ST,58.184015,6.356184,6.245046,6.085257
COLO SPRINGS UTILITIES - BIRDSALL PLANT,213 NICHOLS BLVD,29.05,0.89,0.89,0.64
COLOR STAR GROWERS - FT LUPTON FACILITY,6811 COUNTY ROAD 31,65.505045,6.133942,6.133942,4.542889
COLOR STAR GROWERS - OLD FT LUPTON FACIL,11610 COUNTY ROAD 14.5,27.6,2.6,2.6,2.2
COLOR STAR GROWERS-PEYTON GREENHOUSE,14095 PEYTON HWY,88.49799,7.12864,7.12864,5.05674
COLORADO AGGREGATE CO; CLIFFORD W ESTES,13387 COUNTY ROAD 12,4.4,7.44732,1.031138,0.064
COLORADO ANIMAL & PET CREMATION SERVICES,9731 HANOVER CT E,1.17,0.2,0.17027,0.02
COLORADO ANTIQUE FIELD,Unknown,0.00397995,0.0144931,0.0100003,0.00921352
COLORADO ASPHALT SERVICES,3700 E 56TH AVE,4.55,4.025,0.943359,0.356088
COLORADO COLLEGE,1125 GLEN AVE,21.58344,2.089808,1.785659,20.926779
COLORADO CONTAINER CORP,4221 MONACO ST,1.4,0.03,0.03,3.828
COLORADO CREMATORY SVC HAMPDEN MEM,8600 E HAMPDEN AVE,0.011,0.1254,0.10676,2.484
COLORADO FUEL MANUFACTURERS; INC.,1493 HIGHWAY 6 AND 50,35.82003,0.4722,0.471349,70.526838
COLORADO FUEL MANUFACTURERS; INC.,1629 21 RD,33.2,0.974768,0.974768,87.5075
COLORADO INTERSTATE GAS CO  CHEYENNE STN,SEC 5 T11N R66W,733.68,14.877082,14.871976,350.37
COLORADO INTERSTATE GAS CO FLANK STA,SENE SEC 5 T24S R42W,99.03,1.78,1.78,68.47
COLORADO INTERSTATE GAS CO FORT MORGAN,17462 Morgan County Rd,174.83,0.91,0.875957,53.41
COLORADO INTERSTATE GAS CO GREASEWOOD,S SW SEC 5 T2S R96W,37.04796,1.92,1.92,1.05
COLORADO INTERSTATE GAS CO KIT CARSON,3073 US HWY 287,1356.67,18.64,18.64,49.513
COLORADO INTERSTATE GAS CO LATIGO C & S,NE NE SEC 23 T5S R61W,326.1,0.86,0.86,90.6851
COLORADO INTERSTATE GAS CO SPRINGFIELD,NW SW SEC 30 T26S R47W,412.6,5.81,5.81,14.26
COLORADO INTERSTATE GAS CO WATKINS STA,NE SE SEC 31 T3S R65W,459.6,16.52,16.52,44.6
COLORADO INTERSTATE GAS CO. - FT. LUPTON,SW NE SEC 34 T2N R66W,28.86953,0.395,0.395,10.30343
COLORADO INTERSTATE GAS CO. - KIM,SEC 31 T32S R54W,66.4,2.54,2.54,24
COLORADO INTERSTATE GAS CO.-TRINIDAD CS,41505 US HIGHWAY 160,18.3036,2.036,2.036,5.1
COLORADO LIME COMPANY DBA CALCO,400 E RAILROAD AVE,0.63245,29.215038,8.709243,0.595927
COLORADO MENTAL HEALTH INST AT FT LOGAN,4075 S LOWELL BLVD,2.23,0.106,0.0993504,0.117
COLORADO PLAINS MEDICAL CENTER,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
Colorado Plains Regiona,Unknown,0.71792865,1.22120812,0.94625982,1.56698529
COLORADO ROCKIES BASEBALL CLUB,2001 BLAKE ST,0.623912,0.2335,0.2335,0.211679
COLORADO SERUM CO,4950 YORK ST,0.862392,0.047374,0.043008,0.080958
COLORADO SPRINGS EAST,Unknown,0.2962029,0.502303,0.387996,0.649018
COLORADO SPRINGS UTIL. - CLEAR SPRING RA,Clear Spring Ranch,7.11225,9.281447,9.08919435,0.150052
COLORADO SPRINGS UTILITIES - NIXON PLT,14020 RAY NIXON RD.,2016.9576,49.42048,22.743635,30.990476
COLORADO SPRINGS UTILITIES MARTIN DRAKE,700 S CONEJOS ST,3108.2,63.0974,46.107482,27.64
COLORADO STATE UNIV,MAIN CAMPUS  COLLEGE & UNIVERS,199.429136,13.507353,12.8535816,8.371928
COLORADO STATE UNIVERSITY CSU,425 29 RD,0.48,0.45,0.383108,0.04
COLORADO STONE QUARRIES; INC. - YULE,SESE SEC 1 T12S R88W,34.67292,2.068315,1.177348,4.72569
COLORADO WILBERT VAULT CO.,4985 LOCUST ST,0.59,2.060004,0.728475,0.005
COLORADO-GOLDEN ENERGY CORPORATION,25 10TH ST,1160.6026,64.3524,64.013457,10.4588
COLUMBIA ROSE MEDICAL CTR,4567 E 9TH AVE,7.24371,0.372123,0.35712826,0.17382
COMANCHE AIRFIELD LLC,Unknown,0.00545155,0.019852,0.0136979,0.0126203
COMANCHE CREEK,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
COMANCHE LIVESTOCK,Unknown,0.00328412,0.0119593,0.00825189,0.0076027
COMANCHE SPRINGS RANCH,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
COMCAST CABLE COMMUNICATIONS,201 ASPEN AIRPORT BUSINESS CTR,0.064476,0.00334,0.00334,0.002324
COMCAST CABLE COMMUNICATIONS,7059 S POTOMAC ST,6.23555,0.292079,0.292079,0.644193
COMCAST CABLE COMMUNICATIONS,7150 S FULTON ST,3.22881,0.091889,0.091889,0.185363
COMCAST CABLE COMMUNICATIONS,7475 S JOLIET ST,1.81251,0.12741,0.12741,0.134643
COMCAST COLORADO MEDIA CENTER,2505 W 16TH AVE,5.2,0.1,0.1,0.1
COMCAST DIGITAL MEDIA CENTER,4100 E DRY CREEK RD,47.6,0.600021,0.600021,0.978781
COMCAST OF COLORADO IX; LLC,6850 S TUCSON WAY,1.3288,0.0154,0.0154,0.07062
COMCAST OF COLORADO/ FLORIDA INC,EAST 1ST ST AND ASH AVE,0.302,0.0036,0.0036,0.01605
COMMERCE CITY GRAIN; LLC,1451 CARGILL DR,2.14375,2.505938,0.353624,0.042875
COMMERCIAL ROCK PRODUCTS,TEMPORARILY RELOCATED TO NATIVE AMERICAN RESERVATION,4.94,9.521515,3.063995,0.51
COMMONS 19; LLC,1515 DELGANY ST,1.65,0.0897,0.085743,0.08
CONAGRA - FLOUR MILL,4545 E 64TH AVE,1.1,61.5,17.093008,0.2
CONAGRA FLOUR MILLING COMPANY,3750 WYNKOOP ST,0.197,28.779421,9.9806172,1.1
CONDOR SNACK COMPANY,4300 ONEIDA ST,6.174,8.39705,5.24736,0.1764
CONFLUENCE ENERGY; LLC,1809 COLO HWY 9,30.4848,55.5634,51.1709,47.3
CONNELL RESOURCES - CAMELLETTI PIT,NE NE SEC 11 T6N R88W,9.25951,13.077518,11.23549,3.234227
CONNELL RESOURCES; INC.,5150 SE FRONTAGE RD,18.10547,3.791981,1.518227,2.612108
CONOCOPHILLIPS - LA JUNTA SVE,NW SEC 8 T23N R54W,4.66,0.33,0.33,1.6
CONOUR ANIMAL  SHELTER,2825 SHERMAN AVE,0.77786,2.07356,1.76533,0.06555
CONTINENTAL AIRLINES - DIA,DIA - VARIOUS BUILDINGS,0.7,0.09,0.09,0.07
COORS CERAMICS COMPANY STRUCTURAL DIV,600 9TH ST,25.655028,7.246561,7.246561,53.58936
COORSTEK - GRAND JUNCTION OPERATIONS,2449 RIVER ROAD,50.07,6.601,6.576563,22.85
COORSTEK; INC,16000 TABLE MOUNTAIN PKWY,17.25,1.19,1.19,18.44
COORSTEK; INC.,4545 MCINTYRE ST,14.3476,1.6757,1.504756,7.8612
COORSTEK; INC. CLEAR CREEK VALLEY,17750 W 32ND AVE,23.37,2.94,2.94,3.52
COORSTEK; INC.- SOUTH TABLE MOUNTAIN,4414 TABLE MOUNTAIN DR,0.147,14.19315,11.77783,24.838225
CORDEN PHARMA COLORADO; INC.,2075 N 55TH ST,8.8,0.86,0.86,14.14
Cortez Muni,Unknown,1.400957073,0.888324206,0.680828163,5.944503136
COTTONWOOD FIELD,Unknown,0.00300852,0.0109557,0.00755941,0.00696469
COULSON EX. - BROWNWOOD/GARDELS PITS,2165 E. HWY 402,3.69675,6.81953,1.643732,4.30125
COYOTE CREEK RANCH,Unknown,0.00282458,0.0102858,0.0070972,0.00653885
CRAIG,Unknown,27.51094952,0.78463303,0.76050624,1.91901192
Craig-Moffat,Unknown,0.0866506,0.1494166,0.1150332,0.1900206
CRAWFORD,Unknown,0.1651591,0.2685287,0.2092035,0.36115
CRAY VALLEY USA; LLC - GRAND JUNCTION,569 24 1/4 RD,3.55,0.1065,0.1065,41.38815
CRICKET COMMUNICATIONS,12875 E 42ND AVE UNIT 70,5.97307,0.291371,0.291371,0.825545
CRIDLER FIELD,Unknown,0.00302282,0.0110077,0.00759534,0.00699779
CRIPPLE CREEK & VICTOR GOLD MINING CO,"SEC 17-20, 29, 30 T15S R69W",674.37,1049.23,350.092309,3.84
CRIST MORTUARY,3395 PENROSE PL,0.08,0.12,0.102162,0.01
CROP AIR INC,Unknown,0.00501508,0.0182626,0.0126012,0.0116098
CRUSADER ENERGY - WEST SIDE BOOSTER,SEC 16 T31S R44W,0.80836,0.025,0.025,0.073487
CRUSADER ENERGY GROUP - HETRICK 1,SEC 13 T31S R42W,3.3,0.015,0.015,0.1
CRUSADER ENERGY GROUP INC - STONINGTON,SEC 5 T32S R42W,25.5194,0.079,0.079,0.397263
CRUSADER ENERGY GROUP- BIRCHFIELD  1-33,SEC 33 T31S R43W,3.35102,0.015,0.015,0.088185
CRYSTAL LAKES,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
CSU ANIMAL DISEASE DIAGNOSTIC LAB,27847 RD 21,0.0344,0.0136,0.011578,0.0021
CUCHARA RANCH,Unknown,0.00277778,0.0101154,0.00697961,0.00643051
Cuchara Valley At La Ve,Unknown,0.01318183,0.02273621,0.01750328,0.0289074
CUSTER COUNTY ROAD & BRIDGE,NW NE SEC 3 T23S R72W,0.168,8.540244,2.514987,0.135931
CUSTOM ENERGY CONST. - BUCK PEAK PLANT,SESW SEC 9 T6N R90W,4.73328,0.00842,0.00842,3.474862
D B SMITH MEMORIAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
D BAR D,Unknown,0.00301372,0.0109746,0.00757247,0.00697673
DAIRY FARMERS OF AMERICA; INC.,2301 E BIJOU AVE,26.1131,1.888828,1.888828,1.481053
DARLING INTERNATIONAL INC.,5701 YORK ST 5800,10.88197,0.276636,0.270095,5.3428
DAVE NASH RANCH,Unknown,0.00278882,0.0101556,0.00700737,0.00645609
DAVE'S,Unknown,0.00311285,0.0113356,0.00782154,0.0072062
DAVIS MORTUARY,128 BROADWAY AVE,0.06,0.000005,0.000005,0.06
DAVIS WIRE PUEBLO CORP.,2100 S FREEWAY BLDG 14,13.50333,3.613382,2.4928503,0.616888
DAWN FOODS PRODUCTS,4500 LIPAN ST,3.308025,0.718314,0.718314,0.519833
DBS AIR,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
DCP MIDSTREAM - W ARAPAHOE CS,SEC 22 T14S R42W,13,0.1505,0.1505,25.85
DCP MIDSTREAM LP - ENTERPRISE,SW SW SEC 30 T2N R63W,159.93,3.8475,3.8475,142.17
DCP MIDSTREAM; LP - CHEYENNE WELLS,SEC 30 T13S R44W,22.5,0.3,0.3,17.50385
DCP MIDSTREAM; LP - EATON,NE SE SEC 34 T7N R66W,85.69,8.03,8.03,27.92
DCP MIDSTREAM; LP - GREELEY,SW SEC 25 T5N R66W,228.86,18.0217,18.0217,111.83
DCP MIDSTREAM; LP - JODY,NE NE SEC 21 T6N R61W,44.1,0.13135,0.13135,8.1
DCP MIDSTREAM; LP - JOHNSTOWN,SW/4 SEC 29 T5N R66W,4.94,0.16125,0.16125,4.94
DCP MIDSTREAM; LP - KIRKMEYER,SE SW SEC 30 T1N R67W,88.1,0.2828,0.2828,25.02
DCP MIDSTREAM; LP - MARILYN,COUNTY RD 21 AT COUNTY RD 22,79.238764,0.617,0.617,51.37518
DCP MIDSTREAM; LP - MARLA,SE SE SEC 28 T4N R64W,182.97,3.0975,3.0975,105.23
DCP MIDSTREAM; LP - MIDPOINT,N/2 SEC 21 T7N R61W,13.04,0.231,0.231,8.12
DCP MIDSTREAM; LP - N ARROWHEAD,NENW SEC 18 T16S R45W,20.6642,0.2305,0.2305,46.2464
DCP MIDSTREAM; LP - N MAYFIELD,NE SEC 29 T13S R43W,32.61,0.46524,0.46524,23.52567
DCP MIDSTREAM; LP - PARKER & PA,SW/4 SE/4 SEC 5 T3N R64W,15.9,0.1115,0.1115,3.2
DCP MIDSTREAM; LP - PLATTEVILLE,SEC 8 T3N R66W,244.88,1.353242,1.353242,134.36
DCP MIDSTREAM; LP - RIVERSIDE,SW/4 SE/4 SEC 27 T5N R61W,9.66,0.0697,0.0697,1.93
DCP MIDSTREAM; LP - ROGGEN,35409 COUNTY ROAD 18,69.089,1.66674,1.66674,48.67998
DCP MIDSTREAM; LP - SE MT PEARL,NENE SEC 31 T14S R46W,17.3,0.403,0.403,29.9145
DCP MIDSTREAM; LP - SINGLETREE,NW/4 SEC 16 T2N R66W,48.1,0.1595,0.1595,8
DCP MIDSTREAM; LP - SOUTHFIELD,SW/4 SW/4 SEC 29 T1N R63W,24.72,0.1555,0.1555,4.94
DCP MIDSTREAM; LP - SPINDLE,"SE SEC 33, SW SEC 34 T2N R67W",334.96,8.6181,8.6181,135.59
DCP MIDSTREAM; LP - SURREY,SW/4 SEC 28 T1N R67W,43.3,0.258,0.258,80.1
DCP MIDSTREAM; LP - TAMPA,SW/4 SW/4 SEC 31 T3N R63W,63.8,0.714,0.714,19.12
DCP MIDSTREAM; LP - WEST SPINDLE,NW SEC 36 T2N R68W,46.7545,0.61715,0.61715,84.28688
DCP MIDSTREAM; LP- LUCERNE,31495 COUNTY ROAD 43,159.68986,4.05516,4.05516,104.307
DCP MIDSTREAM; LP- MEWBOURN,NE SE SEC 35 T4N R66W,153.39,6.0386,6.0386,159.3857
DCP MIDSTREAM; LP-LADDER CREEK,SE SEC 25 T14S R45W,139.363081,12.508824,12.505674,79.769503
